"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1600000US0618996","Desert Hot Springs city, California","28430","55"
"1600000US0680483","Trinity Village CDP, California","279","121"
"1600000US0639570","Lake Isabella CDP, California","3454","703"
"1600000US0631414","Guadalupe city, California","7350","27"
"1600000US0678949","Tooleville CDP, California","309","242"
"1600000US0650132","Muscoy CDP, California","13726","1227"
"1600000US0636546","Inglewood city, California","110327","137"
"1600000US0653160","Oak Shores CDP, California","282","141"
"1600000US0653448","Oildale CDP, California","34723","1441"
"1600000US0649045","Monument Hills CDP, California","1700","559"
"1600000US0614454","Cold Springs CDP (Tuolumne County), California","108","120"
"1600000US0600464","Aguanga CDP, California","835","356"
"1600000US0623812","Fellows CDP, California","49","31"
"1600000US0683304","Wallace CDP, California","1063","358"
"1600000US0671134","Shandon CDP, California","1141","348"
"1600000US0611481","Carrick CDP, California","47","49"
"1600000US0642524","Lompoc city, California","43511","56"
"1600000US0657288","Pinole city, California","19264","59"
"1600000US0614106","Clio CDP, California","65","65"
"1600000US0657829","Plumas Lake CDP, California","7367","869"
"1600000US0616224","Corcoran city, California","22301","32"
"1600000US0656042","Paskenta CDP, California","105","47"
"1600000US0622360","El Rancho CDP, California","65","119"
"1600000US0618100","Davis city, California","67988","39"
"1600000US0671246","Shaver Lake CDP, California","498","100"
"1600000US0606616","Big Pine CDP, California","1568","169"
"1600000US0602378","Aptos CDP, California","5797","613"
"1600000US0608530","Brooktrails CDP, California","3709","766"
"1600000US0611915","Castle Hill CDP, California","1145","320"
"1600000US0603386","Azusa city, California","49544","55"
"1600000US0671876","Signal Hill city, California","11538","35"
"1600000US0668224","San Marino city, California","13285","30"
"1600000US0639724","Lake San Marcos CDP, California","4890","796"
"1600000US0658520","Poway city, California","49842","71"
"1600000US0614946","Colusa city, California","5902","29"
"1600000US0680854","Tustin city, California","80140","67"
"1600000US0680588","Truckee town, California","16377","30"
"1600000US0607274","Bodfish CDP, California","1384","360"
"1600000US0612734","Charter Oak CDP, California","9760","835"
"1600000US0625128","Fort Jones city, California","832","196"
"1600000US0621712","El Cajon city, California","103285","71"
"1600000US0663050","Rossmoor CDP, California","11160","492"
"1600000US0603792","Bangor CDP, California","372","143"
"1600000US0625576","Freedom CDP, California","3719","604"
"1600000US0673696","Spring Valley CDP (San Diego County), California","31591","1251"
"1600000US0638352","Keswick CDP, California","430","153"
"1600000US0680448","Trinidad city, California","272","88"
"1600000US0686034","Winters city, California","7132","43"
"1600000US0660466","Rialto city, California","102873","80"
"1600000US0660088","Redway CDP, California","1199","600"
"1600000US0620298","Dutch Flat CDP, California","196","66"
"1600000US0617708","Cutler CDP, California","5774","1038"
"1600000US0686594","Wrightwood CDP, California","4283","622"
"1600000US0604470","Bayview CDP (Contra Costa County), California","1954","419"
"1600000US0644784","McCloud CDP, California","1072","201"
"1600000US0639598","Lakeland Village CDP, California","13170","1070"
"1600000US0634405","Homewood Canyon CDP, California","35","31"
"1600000US0641740","Linnell Camp CDP, California","686","383"
"1600000US0656476","Penngrove CDP, California","2961","629"
"1600000US0661026","Ripon city, California","15367","32"
"1600000US0619766","Downey city, California","112901","44"
"1600000US0633182","Hemet city, California","84069","107"
"1600000US0618688","Del Rey Oaks city, California","1596","142"
"1600000US0669196","Santa Maria city, California","105483","75"
"1600000US0602028","Anchor Bay CDP, California","314","136"
"1600000US0673290","South San Jose Hills CDP, California","20593","1034"
"1600000US0651560","Norco city, California","26569","36"
"1600000US0686930","Yountville city, California","2982","18"
"1600000US0682744","Villa Park city, California","5912","45"
"1600000US0636098","Hyampom CDP, California","165","129"
"1600000US0614484","Coleville CDP, California","515","228"
"1600000US0622006","Elk Creek CDP, California","191","95"
"1600000US0685208","Whitewater CDP, California","976","193"
"1600000US0658436","Poso Park CDP, California","2","3"
"1600000US0607652","Boulder Creek CDP, California","4712","668"
"1600000US0604478","Bayview CDP (Humboldt County), California","2617","320"
"1600000US0630812","Graton CDP, California","1877","411"
"1600000US0662200","Robinson Mill CDP, California","35","26"
"1600000US0646520","Meadowbrook CDP, California","3033","641"
"1600000US0645988","Markleeville CDP, California","143","102"
"1600000US0659604","Rancho Tehama Reserve CDP, California","1922","565"
"1600000US0641278","Lewiston CDP, California","1340","251"
"1600000US0602420","Arbuckle CDP, California","3636","419"
"1600000US0670266","Saranap CDP, California","6492","650"
"1600000US0639696","Lake of the Woods CDP, California","768","207"
"1600000US0607568","Boron CDP, California","2312","317"
"1600000US0632408","Hat Creek CDP, California","164","124"
"1600000US0660214","Redwood Valley CDP, California","1376","389"
"1600000US0672674","Sonora city, California","4822","24"
