72|baker/cdp|Baker CDP, California|San Bernardino County|6961526|0|2.688|0|35.276918|-116.071735|916|255|198|13|0|32|0|0|12|661|374|0|20|0|0|267|0|13559|36838|38063|22900|716|1981|3.3|4.29|447|279|21|9|9|||||||||||||||||||||
73|bakersfield|Bakersfield city, California|Kern County|384737475|3723653|148.548|1.438|35.353547|-119.034875|358700|190519|128548|27873|2138|22903|501|607|7949|168181|113186|1531|2487|806|21|43137|7013|23786|56842|61994|184800|985|1986|3.17|3.65|208447|166193|43159|14337|4618|367406|1678|17||21|660|980|14595|4065|8247|2283|372|159273|58209|60863|4695|311|951|446|159|33639
74|baldwinpark|Baldwin Park city, California|Los Angeles County|17174856|399817|6.631|0.154|34.082824|-117.971286|76411|16886|2658|896|429|12487|155|6|255|59525|24337|232|414|228|9|32800|1505|15419|51189|51599|292800|1213|1965|4.35|4.54|46465|27985|5251|1039|323|76933|219|2||7|56|154|1342|317|709|316|9|27743|15387|3817|531|66|102|269|205|7366
75|ballard/cdp|Ballard CDP, California|Santa Barbara County|3056035|569|1.18|0|34.630473|-120.111782|323|254|254|0|0|0|0|0|0|69|53|0|0|0|0|16|0|65977|87083|116250|910300|871|1980|2.24|2.56|270|226|133|44|20|||||||||||||||||||||
76|ballico/cdp|Ballico CDP, California|Merced County|7828206|0|3.022|0|37.451917|-120.703707|333|189|174|8|0|4|3|0|0|144|91|0|3|0|0|39|11|22216|41250|73333|211400|950|1963|3.03|3.65|203|139|17|7|3|||||||||||||||||||||
77|bangor/cdp|Bangor CDP, California|Butte County|34765043|0|13.423|0|39.376087|-121.411654|575|573|532|0|5|0|0|0|36|2|2|0|0|0|0|0|0|19272|39500|48409|187500|938|1979|2.46|2.97|421|386|64|28|16|||||||||||||||||||||
78|banning|Banning city, California|Riverside County|59826086|0|23.099|0|33.946032|-116.899241|30281|18316|13905|2223|183|1528|27|36|414|11965|7984|202|169|71|0|2840|699|20246|39556|46434|160500|968|1983|2.51|3.18|21314|17153|3377|1430|269|30699|128|1||23|16|88|619|248|243|128|0|12544|4872|4913|417|22|72|48|88|2112
79|barstow|Barstow city, California|San Bernardino County|107077781|133861|41.343|0.052|34.866788|-117.043006|23110|13135|7409|3061|328|741|774|0|822|9975|7028|151|95|24|0|1893|784|18863|40648|48977|93600|738|1968|2.87|3.46|13471|10815|1596|652|120|23349|217|1||11|52|153|781|328|307|146|7|7540|2953|2069|387|23|38|45|55|1970
80|basslake/cdp|Bass Lake CDP, California|Madera County|4988306|1467704|1.926|0.567|37.327282|-119.565326|570|570|570|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25752|36250|58438|298000|-|1975|2.29|2.95|465|456|143|40|15|||||||||||||||||||||
81|baypoint/cdp|Bay Point CDP, California|Contra Costa County|17041292|2129858|6.58|0.822|38.032742|-121.960958|21586|9453|4241|2599|19|1822|78|0|694|12133|6629|121|38|0|40|4687|618|17385|41749|42983|158000|1185|1977|3.34|3.98|12314|8552|1867|336|80|||||||||||||||||||||
82|bayview/cdp/contracosta|Bayview CDP (Contra Costa County), California|Contra Costa County|788835|209670|0.305|0.081|38.006234|-122.320165|2025|1364|690|302|0|331|0|0|41|661|403|179|4|0|0|70|5|29636|82431|95150|274300|2,000+|1966|3.11|3.54|1281|994|259|29|9|||||||||||||||||||||
83|bayview/cdp/humboldt|Bayview CDP (Humboldt County), California|Humboldt County|1895432|0|0.732|0|40.765335|-124.178605|2408|1728|1558|0|13|21|54|0|82|680|436|0|60|0|0|153|31|18175|26987|35987|231600|946|1965|2.34|2.97|1656|1302|279|84|40|||||||||||||||||||||
84|bealeafb/cdp|Beale AFB CDP, California|Yuba County|26160441|25614|10.101|0.01|39.108061|-121.351215|1342|1175|812|125|0|144|4|0|90|167|87|15|0|0|6|45|14|16375|42904|42684|-|1478|1978|3.28|3.29|589|561|183|63|13|||||||||||||||||||||
85|bearcreek/cdp|Bear Creek CDP, California|Merced County|148411|0|0.057|0|37.296601|-120.417676|197|27|27|0|0|0|0|0|0|170|67|0|9|0|0|94|0|11585|16719|32800|-|678|1970|2.46|2.83|160|73|0|0|0|||||||||||||||||||||
86|bearvalley/cdp/alpine|Bear Valley CDP (Alpine County), California|Alpine County|13352848|56384|5.156|0.022|38.472319|-120.051845|43|37|37|0|0|0|0|0|0|6|0|0|0|0|0|0|6|21109|75179|-|-|-|1979|2.26|3.4|32|32|12|0|0|||||||||||||||||||||
87|bearvalley/cdp/mariposa|Bear Valley CDP (Mariposa County), California|Mariposa County|18742832|19446|7.237|0.008|37.564883|-120.131226|201|201|201|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10781|16042|11597|216700|-|2000|2.18|2.85|134|134|44|27|0|||||||||||||||||||||
88|bearvalleysprings/cdp|Bear Valley Springs CDP, California|Kern County|107445360|169948|41.485|0.066|35.1794|-118.625971|5058|4565|4151|61|8|109|0|0|236|493|460|0|0|0|0|19|14|38716|82761|97212|282400|922|1988|2.41|2.85|3820|3690|1334|747|166|||||||||||||||||||||
89|beaumont|Beaumont city, California|Riverside County|80205626|35531|30.968|0.014|33.863083|-116.950461|39620|24619|17491|1964|97|4036|63|66|902|15001|8878|126|315|74|0|4185|1423|26627|66775|75809|216300|1077|2002|3.1|3.58|24770|21630|6284|2646|686|41323|71|0||8|19|44|974|171|707|96|2|17111|5823|6861|657|41|107|31|127|3464
90|beckwourth/cdp|Beckwourth CDP, California|Plumas County|30257783|13194|11.683|0.005|39.843931|-120.414009|290|267|267|0|0|0|0|0|0|23|0|0|0|0|0|0|23|43100|52609|81351|191000|-|1983|1.71|2.2|275|242|80|33|19|||||||||||||||||||||
